age_Ga,Neukum,Cui2024,Yue2026,Neukum_plus_CE6L,Cui2024_plus_CE6L,Yue2026_plus_CE6L
0.79,0.0006620200129242912,0.0006045080056913924,0.0005827830015635142,0.0006967112911287584,0.0006453873906051319,0.0005950245287713176
0.795,0.0006662100133818849,0.0006083340059006079,0.0005864715016241809,0.0007011208580901482,0.0006494721209514754,0.0005987905068677799
0.8,0.0006704000138556121,0.0006121600061174882,0.0005901600016871956,0.0007055304251245777,0.0006535568512990403,0.0006025564849672736
0.805,0.0006745900143460416,0.0006159860063423137,0.0005938485017526493,0.0007099399922343955,0.0006576415816478744,0.0006063224630699144
0.81,0.0006787800148537625,0.0006198120065753757,0.0005975370018206364,0.000714349559422025,0.0006617263119980277,0.0006100884411758225
0.8150000000000001,0.0006829700153793842,0.0006236380068169762,0.000601225501891255,0.0007187591266899678,0.000665811042349552,0.0006138544192851226
0.8200000000000001,0.0006871600159235377,0.0006274640070674276,0.0006049140019646069,0.000723168694040806,0.0006698957727025015,0.0006176203973979442
0.8250000000000001,0.0006913500164868767,0.0006312900073270544,0.0006086025020407979,0.0007275782614772045,0.000673980503056932,0.000621386375514422
0.8300000000000001,0.0006955400170700776,0.0006351160075961925,0.000612291002119938,0.000731987829001914,0.0006780652334129018,0.0006251523536346955
0.835,0.0006997300176738404,0.0006389420078751905,0.000615979502202141,0.0007363973966177736,0.0006821499637704715,0.0006289183317589095
0.84,0.0007039200182988904,0.0006427680081644097,0.0006196680022875258,0.0007408069643277138,0.000686234694129704,0.0006326843098872146
0.845,0.000708110018945978,0.0006465940084642244,0.0006233565023762154,0.0007452165321347592,0.0006903194244906648,0.000636450288019767
0.85,0.0007123000196158801,0.0006504200087750231,0.0006270450024683379,0.0007496261000420316,0.000694404154853422,0.0006402162661567289
0.855,0.0007164900203094012,0.0006542460090972077,0.000630733502564026,0.0007540356680527531,0.0006984888852180461,0.0006439822442982685
0.86,0.000720680021027374,0.0006580720094311958,0.0006344220026634176,0.0007584452361702497,0.0007025736155846105,0.0006477482224445609
0.865,0.0007248700217706605,0.0006618980097774194,0.0006381105027666562,0.0007628548043979538,0.0007066583459531917,0.0006515142005957873
0.87,0.0007290600225401534,0.0006657240101363269,0.0006417990028738908,0.0007672643727394088,0.000710743076323869,0.0006552801787521363
0.875,0.0007332500233367764,0.0006695500105083832,0.0006454875029852759,0.0007716739411982715,0.0007148278066967248,0.0006590461569138035
0.88,0.0007374400241614863,0.0006733760108940698,0.0006491760031009722,0.0007760835097783166,0.0007189125370718449,0.0006628121350809919
0.885,0.0007416300250152731,0.000677202011293886,0.0006528645032211465,0.0007804930784834396,0.0007229972674493183,0.0006665781132539121
0.89,0.0007458200258991623,0.0006810280117083495,0.0006565530033459722,0.0007849026473176622,0.0007270819978292376,0.0006703440914327835
0.895,0.0007500100268142149,0.0006848540121379969,0.0006602415034756292,0.0007893122162851345,0.0007311667282116992,0.0006741100696178328
